cve_id,published_date,last_modified_date,description,cvss_score
CVE-1999-0095,1988-10-01T04:00:00.000,2019-06-11T20:29:00.263,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",10.0
CVE-1999-0082,1988-11-11T05:00:00.000,2008-09-09T12:33:40.853,CWD ~root command in ftpd allows root access.,10.0
CVE-1999-1471,1989-01-01T05:00:00.000,2008-09-05T20:19:36.257,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,7.2
CVE-1999-1122,1989-07-26T04:00:00.000,2018-05-03T01:29:04.817,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,4.6
CVE-1999-1467,1989-10-26T04:00:00.000,2017-12-19T02:29:08.393,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",10.0
CVE-1999-1506,1990-01-29T05:00:00.000,2008-09-05T20:19:41.257,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",7.5
CVE-1999-0084,1990-05-01T04:00:00.000,2017-10-10T01:29:00.387,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,7.2
CVE-2000-0388,1990-05-09T04:00:00.000,2008-09-10T19:04:33.930,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,7.5
CVE-1999-0209,1990-08-14T04:00:00.000,2008-09-09T12:34:01.117,The SunView (SunTools) selection_svc facility allows remote users to read files.,5.0
CVE-1999-1198,1990-10-03T04:00:00.000,2008-09-05T20:18:57.260,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",7.2
CVE-1999-1391,1990-10-03T04:00:00.000,2008-09-05T20:19:24.600,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,7.2
CVE-1999-1392,1990-10-03T04:00:00.000,2008-09-05T20:19:24.740,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,7.2
CVE-1999-1057,1990-10-25T04:00:00.000,2008-09-05T20:18:37.230,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,4.6
CVE-1999-1554,1990-10-31T05:00:00.000,2008-09-05T20:19:48.163,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",2.1
CVE-1999-1197,1990-12-20T05:00:00.000,2008-09-05T20:18:57.117,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",7.2
CVE-1999-1115,1990-12-31T05:00:00.000,2008-09-05T20:18:45.430,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",7.2
CVE-1999-1258,1991-01-15T05:00:00.000,2017-10-10T01:29:04.857,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",5.0
CVE-1999-1438,1991-02-22T05:00:00.000,2008-09-05T20:19:31.490,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,7.2
CVE-1999-1211,1991-03-27T05:00:00.000,2017-12-19T02:29:03.553,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,7.2
CVE-1999-1212,1991-03-27T05:00:00.000,2017-12-19T02:29:03.613,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,7.2
CVE-1999-1194,1991-05-01T04:00:00.000,2017-10-10T01:29:03.967,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",7.2
CVE-1999-1193,1991-05-14T04:00:00.000,2017-10-10T01:29:03.903,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",10.0
CVE-1999-1123,1991-05-20T04:00:00.000,2017-12-19T02:29:02.330,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,7.2
CVE-1999-1034,1991-05-23T04:00:00.000,2017-10-10T01:29:01.590,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,7.2
CVE-1999-1415,1991-08-23T04:00:00.000,2008-09-05T20:19:28.163,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,4.6
CVE-1999-1090,1991-09-10T04:00:00.000,2017-10-10T01:29:01.950,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",7.5
CVE-1999-0498,1991-09-27T04:00:00.000,2022-08-17T08:15:13.177,"TFTP is not running in a restricted directory, allowing a remote attacker to access sensitive information such as password files.",10.0
CVE-1999-1468,1991-10-22T04:00:00.000,2008-09-10T19:01:59.960,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",6.2
CVE-1999-0167,1991-12-06T05:00:00.000,2022-08-17T07:15:12.777,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",4.6
CVE-1999-1493,1991-12-18T05:00:00.000,2017-12-19T02:29:08.970,"Vulnerability in crp in Hewlett Packard Apollo Domain OS SR10 through SR10.3 allows remote attackers to gain root privileges via insecure system calls, (1) pad_$dm_cmd and (2) pad_$def_pfk().",10.0
CVE-1999-1032,1991-12-31T05:00:00.000,2017-10-10T01:29:01.547,Vulnerability in LAT/Telnet Gateway (lattelnet) on Ultrix 4.1 and 4.2 allows attackers to gain root privileges.,10.0
CVE-1999-1059,1992-02-25T05:00:00.000,2008-09-05T20:18:37.527,Vulnerability in rexec daemon (rexecd) in AT&T TCP/IP 4.0 for various SVR4 systems allows remote attackers to execute arbitrary commands.,10.0
CVE-1999-0627,1992-03-01T05:00:00.000,2022-08-17T08:15:14.547,"The rexd service is running, which uses weak authentication that can allow an attacker to execute commands.",0.0
CVE-1999-1121,1992-03-19T05:00:00.000,2017-10-10T01:29:02.590,The default configuration for UUCP in AIX before 3.2 allows local users to gain root privileges.,7.2
CVE-1999-0117,1992-03-31T05:00:00.000,2022-08-17T07:15:11.260,AIX passwd allows local users to gain root access.,7.2
CVE-1999-1119,1992-04-27T04:00:00.000,2017-10-10T01:29:02.467,"FTP installation script anon.ftp in AIX insecurely configures anonymous FTP, which allows remote attackers to execute arbitrary commands.",10.0
CVE-1999-1142,1992-05-27T04:00:00.000,2017-10-10T01:29:02.887,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",7.2
CVE-1999-0168,1992-06-04T04:00:00.000,2022-08-17T07:15:12.890,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",7.5
CVE-1999-0214,1992-07-21T04:00:00.000,2022-08-17T10:15:11.863,Denial of service by sending forged ICMP unreachable packets.,10.0
CVE-1999-1396,1992-07-21T04:00:00.000,2008-09-05T20:19:25.337,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,7.2
CVE-1999-1395,1992-11-17T05:00:00.000,2009-10-31T04:02:35.750,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,7.2
CVE-1999-1306,1992-12-10T05:00:00.000,2008-09-05T20:19:12.727,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",7.5
CVE-1999-1466,1992-12-10T05:00:00.000,2008-09-05T20:19:35.477,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",7.5
CVE-1999-1021,1992-12-30T05:00:00.000,2017-10-10T01:29:01.483,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",7.2
CVE-1999-1056,1992-12-31T05:00:00.000,2023-11-07T01:55:06.290,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,
CVE-1999-0312,1993-01-13T05:00:00.000,2022-08-17T08:15:09.440,HP ypbind allows attackers with root privileges to modify NIS data.,5.0
CVE-1999-1507,1993-02-03T05:00:00.000,2017-10-10T01:29:06.547,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,7.2
CVE-1999-1218,1993-02-18T05:00:00.000,2017-12-19T02:29:03.817,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,2.1
CVE-1999-1312,1993-02-24T05:00:00.000,2017-12-19T02:29:07.660,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",7.2
CVE-1999-1216,1993-04-22T04:00:00.000,2017-12-19T02:29:03.753,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",7.5
CVE-1999-1162,1993-05-24T04:00:00.000,2008-09-05T20:18:52.117,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,6.4
CVE-1999-0124,1993-08-09T04:00:00.000,2022-08-17T07:15:11.470,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,10.0
CVE-1999-1215,1993-09-16T04:00:00.000,2017-10-10T01:29:04.357,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",4.6
CVE-1999-1138,1993-09-17T04:00:00.000,2017-10-10T01:29:02.797,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",10.0
CVE-1999-1318,1993-09-17T04:00:00.000,2018-10-30T16:26:22.043,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",7.2
CVE-1999-0145,1993-09-30T04:00:00.000,2019-06-11T20:29:00.417,"Sendmail WIZ command enabled, allowing root access.",7.2
CVE-1999-1137,1993-10-01T04:00:00.000,2018-10-30T16:25:11.980,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",2.1
CVE-1999-0334,1993-12-16T05:00:00.000,2022-08-17T08:15:09.860,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",7.2
CVE-1999-0181,1994-01-01T05:00:00.000,2022-08-17T07:15:13.373,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",6.8
CVE-1999-1242,1994-02-07T05:00:00.000,2017-12-19T02:29:05.097,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,4.6
CVE-1999-0211,1994-02-14T05:00:00.000,2024-02-22T02:15:49.030,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,5.0
CVE-1999-0338,1994-02-24T05:00:00.000,2022-08-17T08:15:10.040,AIX Licensed Program Product performance tools allow local users to gain root access.,7.2
CVE-1999-0120,1994-03-21T05:00:00.000,2018-10-30T16:25:25.357,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,7.2
CVE-1999-1135,1994-04-20T04:00:00.000,2017-12-19T02:29:02.597,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",7.2
CVE-1999-1146,1994-05-04T04:00:00.000,2017-10-10T01:29:03.107,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,7.2
CVE-1999-1388,1994-05-13T04:00:00.000,2008-09-05T20:19:24.197,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,6.2
CVE-1999-1134,1994-05-18T04:00:00.000,2008-09-10T19:01:10.243,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",7.2
CVE-1999-0113,1994-05-23T04:00:00.000,2024-02-13T17:55:39.687,Some implementations of rlogin allow root access if given a -froot parameter.,10.0
CVE-1999-0423,1994-06-01T04:00:00.000,2008-09-09T12:34:31.210,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,4.6
CVE-1999-0337,1994-06-03T04:00:00.000,2022-08-17T08:15:09.973,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,7.5
CVE-1999-0207,1994-06-09T04:00:00.000,2022-08-17T07:15:13.927,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",7.5
CVE-1999-1239,1994-07-13T04:00:00.000,2017-12-19T02:29:04.893,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",4.6
CVE-1999-1552,1994-07-20T04:00:00.000,2008-09-10T19:02:10.163,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",7.2
CVE-1999-1494,1994-08-09T04:00:00.000,2017-10-10T01:29:06.467,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",2.1
CVE-1999-1219,1994-08-11T04:00:00.000,2018-05-03T01:29:05.193,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",7.2
CVE-1999-1238,1994-09-21T04:00:00.000,2017-12-19T02:29:04.830,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,4.6
CVE-1999-1022,1994-10-02T04:00:00.000,2017-12-19T02:29:01.097,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",6.2
CVE-1999-1310,1994-11-04T05:00:00.000,2023-11-07T01:55:08.250,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,
CVE-1999-1248,1994-11-30T05:00:00.000,2017-12-19T02:29:05.427,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,4.6
CVE-1999-1302,1994-11-30T05:00:00.000,2017-07-11T01:29:01.070,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2
CVE-1999-1303,1994-11-30T05:00:00.000,2011-03-08T02:01:55.033,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2
CVE-1999-1304,1994-11-30T05:00:00.000,2011-03-08T02:01:55.110,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,7.2
CVE-1999-1305,1994-11-30T05:00:00.000,2011-03-08T02:01:55.187,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",7.2
CVE-2000-0508,1994-12-19T05:00:00.000,2017-10-10T01:29:09.873,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,5.0
CVE-1999-0077,1995-01-01T05:00:00.000,2017-10-10T01:29:00.310,Predictable TCP sequence numbers allow spoofing.,5.0
CVE-1999-0232,1995-02-01T05:00:00.000,2022-08-17T10:15:12.087,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,10.0
CVE-1999-0235,1995-02-17T05:00:00.000,2022-08-17T07:15:14.467,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,10.0
CVE-1999-0242,1995-03-01T05:00:00.000,2022-08-17T07:15:14.773,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,7.5
CVE-1999-1098,1995-03-03T05:00:00.000,2008-09-05T20:18:43.087,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,5.0
CVE-1999-1243,1995-03-03T05:00:00.000,2017-10-10T01:29:04.687,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,4.6
CVE-1999-0151,1995-04-03T04:00:00.000,2022-08-17T07:15:12.263,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",7.6
CVE-1999-1080,1995-05-10T04:00:00.000,2018-05-03T01:29:04.613,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",7.2
CVE-1999-0066,1995-07-31T04:00:00.000,2008-09-09T12:33:39.727,AnyForm CGI remote execution.,7.5
CVE-1999-0161,1995-07-31T04:00:00.000,2008-09-09T12:33:53.290,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",7.5
CVE-1999-0172,1995-08-02T04:00:00.000,2022-08-17T07:15:13.007,FormMail CGI program allows remote execution of commands.,7.5
CVE-1999-0203,1995-08-17T04:00:00.000,2022-08-17T07:15:13.717,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",10.0
CVE-1999-1580,1995-08-23T04:00:00.000,2008-09-05T20:19:51.897,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",7.2
CVE-1999-0164,1995-08-29T04:00:00.000,2008-09-09T12:33:53.493,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,6.2
CVE-1999-0155,1995-08-31T04:00:00.000,2022-08-17T07:15:12.513,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,7.5
CVE-1999-0245,1995-09-07T04:00:00.000,2022-08-17T07:15:14.897,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",4.6
CVE-1999-0218,1995-10-01T04:00:00.000,2022-08-17T07:15:14.157,Livingston portmaster machines could be rebooted via a series of commands.,5.0
CVE-1999-0073,1995-10-13T04:00:00.000,2022-08-17T07:15:10.250,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",10.0
